fineAGE,Left.Cerebellum.White.Matter,Left.Cerebellum.Cortex,Left.Thalamus.Proper,Left.Caudate,Left.Putamen,Left.Pallidum,Left.Hippocampus,Left.Amygdala,Left.Accumbens.area,Left.VentralDC,Right.Cerebellum.White.Matter,Right.Cerebellum.Cortex,Right.Thalamus.Proper,Right.Caudate,Right.Putamen,Right.Pallidum,Right.Hippocampus,Right.Amygdala,Right.Accumbens.area,Right.VentralDC
4.58,9.026202203965287,43.63222701465606,5.879382175319995,2.6675905783139093,4.369846076595247,1.260200125116331,2.7992318155799647,0.9227742985604527,0.7647101416585755,2.9194369053238987,8.468558808918823,43.03549661758332,5.743605584415931,3.056729437741225,4.449815977666014,1.3349585168715914,2.9656441264466853,1.0856859030385364,0.6142074916214225,3.047921049603824
4.67,9.056177583691776,43.590269488445045,5.8775917149197845,2.671070734982303,4.379374711537853,1.267432327890495,2.804188158662973,0.9252967285523082,0.7627778125749981,2.917117677078302,8.497480758788363,42.980056074675296,5.739785164434131,3.0588470958275646,4.458423648351065,1.3397422243225183,2.9694332465955893,1.0853068892766438,0.613611946336461,3.042453385314234
4.75,9.083802767949761,43.55847310958906,5.876824399352848,2.6749039585449896,4.38837816459041,1.274126706990765,2.8089655476926727,0.9276578311946702,0.7608402227436717,2.915076141643351,8.524309062458137,42.9357158401018,5.737021947611795,3.0612033184468714,4.466380660743356,1.3441343478583083,2.9730201714399973,1.0850223859198767,0.612961759958756,3.0373903842308865
4.83,9.112350683764342,43.53185244837848,5.876832805940078,2.679433418313379,4.397883787361366,1.2810712078906805,2.8140928197658477,0.9301308798601863,0.7586956079906908,2.9130534304750886,8.55219139322037,42.89602525071551,5.734854224483931,3.0640055268317243,4.474625437428477,1.3486581788152432,2.9768130426800585,1.0847871981065595,0.6121978674247477,3.0321364607492733
4.92,9.14557004161949,43.5080908045146,5.877769493738117,2.685361280392446,4.409177862720211,1.2891827451167253,2.820279220423574,0.9330468700896936,0.7560354569169226,2.9108003812920704,8.584818907086838,42.85693111666877,5.733127337021758,3.067691103625063,4.484244779455515,1.3539049201686317,2.981326193126183,1.0845815593021075,0.6112025739340314,3.0259975849032825
5,9.176078761991839,43.492468543300504,5.879426309902956,2.6913702420979537,4.419750596142761,1.2966587548408885,2.8261499939641346,0.9357578040544127,0.7534509142054265,2.908817671690522,8.614941045420546,42.8271210233053,5.732225037994645,3.0714410317617022,4.493101055262905,1.3587086293954986,2.9855567004570096,1.084451167018621,0.610197055817878,3.0203379513253554
5.08,9.207510213920784,43.48202199973181,5.881858848221964,2.6980754400091644,4.430825499283706,1.304384886364698,2.8323706505481705,0.938580684042286,0.750659346572276,2.9068537863556623,8.646117210846713,42.801960575129044,5.731918232662005,3.0756369456638875,4.502245095363126,1.3636440460435102,2.989993154183489,1.0843700902785842,0.609077831545421,3.0144873953491635
5.083,9.208706843380432,43.481730938230314,5.881965158628957,2.6983404289007735,4.431250576921796,1.3046794819474747,2.8326107314886517,0.9386887197418129,0.7505506355043537,2.906780506846418,8.647306821170977,42.801107508451466,5.731918311675307,3.075802968252065,4.502593594781643,1.3638316862887376,2.9901635274992104,1.084368009242264,0.6090336486951321,3.0142642854627777
5.16,9.239864397406325,43.47675117380854,5.885067108695139,2.7054768741260773,4.442402572143051,1.3123611396881534,2.838941190175682,0.9415155100533137,0.7476607540174713,2.904908725287492,8.678347403365338,42.78144977214,5.732206921023837,3.080278845331619,4.5116768997561785,1.3687111701126664,2.994635554305623,1.0843383290819972,0.6078449011166605,3.008445916974706
5.17,9.243973549904592,43.47645623821507,5.885522684218252,2.706451007498905,4.443885015058793,1.313375758042623,2.839787108780615,0.9418902345094451,0.7472713735083168,2.904666916235222,8.682450288710106,42.7792128499436,5.732284877719459,3.0808904411642253,4.51287610873215,1.3693538212993601,2.995230334926834,1.0843378264315726,0.6076827898489503,3.007677307946771
